 &plot nbnd= 100, nks=   701 /
            0.000000  0.000000  0.000000
  -72.233  -72.224  -38.011  -38.011  -37.998  -37.984  -37.945  -37.945  -28.808   -9.827
   -9.827   -9.810   -0.770    1.968    5.870    7.330    7.330    8.096    8.506    9.026
    9.026    9.821    9.843   10.247   11.108   11.108   11.127   12.853   12.853   13.224
   14.000   15.782   16.196   16.424   16.782   17.263   17.263   18.543   20.486   20.489
   20.489   21.656   21.656   22.010   23.416   24.919   25.135   25.135   25.375   25.796
   28.341   29.178   29.212   29.212   30.515   30.515   30.734   31.718   31.783   34.523
   34.523   35.836   36.352   36.650   38.599   38.599   38.914   38.914   39.038   39.652
   39.824   40.711   40.775   40.775   41.704   42.012   42.012   42.557   42.557   43.271
   44.152   44.387   44.962   45.007   45.007   45.539   46.370   46.512   46.969   46.969
   47.459   47.459   48.245   48.245   48.409   48.601   48.659   48.659   48.749   50.042
            0.006906  0.000000  0.002910
  -72.233  -72.224  -38.011  -38.011  -37.998  -37.984  -37.945  -37.945  -28.808   -9.827
   -9.827   -9.810   -0.770    1.968    5.871    7.330    7.330    8.096    8.506    9.025
    9.026    9.821    9.843   10.247   11.093   11.108   11.142   12.850   12.853   13.227
   14.001   15.782   16.196   16.423   16.783   17.263   17.264   18.542   20.461   20.488
   20.512   21.656   21.657   22.011   23.417   24.917   25.135   25.138   25.375   25.798
   28.338   29.151   29.210   29.242   30.511   30.516   30.736   31.719   31.787   34.517
   34.524   35.834   36.356   36.652   38.592   38.594   38.917   38.918   39.038   39.655
   39.821   40.687   40.774   40.804   41.676   42.014   42.041   42.553   42.556   43.274
   44.152   44.373   44.939   45.000   45.046   45.544   46.371   46.510   46.967   46.968
   47.457   47.457   48.231   48.248   48.410   48.600   48.617   48.656   48.809   50.050
            0.013812  0.000000  0.005821
  -72.233  -72.224  -38.011  -38.011  -37.998  -37.984  -37.945  -37.945  -28.808   -9.827
   -9.827   -9.810   -0.769    1.967    5.871    7.330    7.330    8.096    8.505    9.025
    9.027    9.821    9.842   10.246   11.072   11.106   11.164   12.840   12.853   13.237
   14.003   15.783   16.197   16.420   16.785   17.262   17.268   18.540   20.433   20.486
   20.535   21.654   21.657   22.013   23.421   24.911   25.136   25.148   25.376   25.801
